Index,"Major area, region, country or area",Note,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
191,Antigua and Barbuda,,28,2.98,2.56,-1.60,-1.59,0.23,0.23,0.23,0.23,-0.84,-1.11,-1.90,-2.15,-1.97,-1.36,-0.70,-0.02,0.66,1.16,1.16,1.14
192,Aruba,,533,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.63,-0.86,-0.80,-0.83,-0.72,-0.41,-0.09,0.24,0.56,0.78,0.77,0.75
193,Bahamas,,44,1.43,1.31,1.18,1.05,0.95,0.86,0.95,0.81,0.28,0.26,0.07,0.07,0.08,0.10,0.12,0.14,0.16,0.16,0.15,0.15
194,Barbados,,52,0.20,0.20,0.20,0.21,0.57,0.49,-1.91,-1.94,0.37,0.34,-0.53,-0.54,-0.37,-0.07,0.23,0.52,0.80,0.95,0.93,0.90
195,British Virgin Islands,,92,0.80,0.91,3.11,3.04,3.15,3.11,5.36,4.81,1.33,0.66,0.66,0.67,0.68,0.68,0.68,0.67,0.65,0.62,0.60,0.58
196,Cayman Islands,,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Cuba,,192,0.33,0.33,0.32,0.31,1.27,1.17,0.81,0.67,0.25,0.28,0.21,0.12,0.12,0.16,0.19,0.22,0.25,0.26,0.25,0.24
198,Dominica,,212,0.90,0.84,0.18,0.26,1.96,1.83,3.14,2.85,0.55,0.13,0.41,0.44,0.42,0.39,0.36,0.34,0.31,0.29,0.28,0.27
199,Dominican Republic,,214,2.47,2.36,2.95,2.75,2.56,2.31,0.98,0.50,0.84,1.39,1.74,1.81,1.37,0.93,0.63,0.41,0.25,0.15,0.13,0.13
200,Grenada,,308,0.63,0.62,0.61,0.59,0.22,0.22,0.16,0.15,0.66,0.75,0.03,-0.13,-0.05,0.15,0.35,0.55,0.73,0.85,0.83,0.81
201,Guadeloupe,20,312,5.65,4.49,3.38,2.41,1.65,1.09,0.70,0.45,0.28,0.14,0,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01
202,Haiti,,332,2.50,2.45,2.40,2.34,0.64,0.13,2.49,4.07,2.68,1.77,4.28,3.31,2.40,1.68,1.12,0.66,0.48,0.46,0.43,0.40
203,Jamaica,,388,3.51,3.23,2.10,1.94,1.26,1.20,0.71,0.42,0.47,0.47,0.38,0.35,0.39,0.48,0.56,0.62,0.66,0.67,0.64,0.60
204,Martinique,,474,0.44,3.51,4.40,4.00,3.09,2.23,1.03,0.58,0.49,0.29,-0.08,-0.07,-0.03,0.01,0.05,0.08,0.11,0.10,0.10,0.09
205,Montserrat,,500,0,0.03,-3.31,-3.20,0.92,0.88,0,0,0,-35.80,29.97,-0.41,-0.26,0.10,0.46,0.82,1.17,1.43,1.43,1.42
206,Sint Maarten (Dutch part),,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Caribbean Netherlands,,535,0.49,0.46,0.43,0.41,0.23,0.15,-0.14,-0.19,-0.32,-0.40,-0.05,-0.00,0.00,0.05,0.11,0.16,0.21,0.25,0.25,0.24
208,Curaçao,,531,0.59,0.55,0.51,0.47,0.43,0.40,0.36,0.33,0.70,0.69,-0.05,-0.14,-0.13,-0.08,-0.03,0.02,0.07,0.11,0.11,0.10
209,Puerto Rico,,630,0.89,0.97,2.91,2.48,1.47,1.55,4.35,1.95,0.17,0.14,-0.06,-0.06,-0.05,-0.02,0.00,0.03,0.06,0.07,0.06,0.06
210,Saint Kitts and Nevis,,659,0.37,0.46,2.20,2.02,0.51,0.48,-0.36,-0.36,-0.52,-0.56,-0.45,-0.15,0.15,0.45,0.74,0.93,0.92,0.90,0.87,0.85
211,Saint Lucia,,662,1.12,1.11,1.09,1.07,1.05,1.04,1.02,1.00,-0.40,-0.70,-3.70,-4.48,0.06,0.29,0.53,0.77,1.00,1.18,1.19,1.16
212,Saint Vincent and the Grenadines,,670,1.81,1.76,1.71,1.65,1.59,1.53,1.47,1.40,0.93,0.82,0.78,0.75,0.71,0.67,0.63,0.59,0.57,0.55,0.53,0.51
213,Trinidad and Tobago,,780,-2.04,-2.17,-3.80,-3.78,-0.87,-0.92,-2.48,-2.35,2.40,2.27,-1.69,-1.71,-1.48,-0.86,-0.24,0.38,1.00,1.46,1.47,1.46
214,Turks and Caicos Islands,,796,0.09,0.12,0.71,0.68,0.75,0.81,3.38,2.55,1.45,1.12,0.74,0.56,0.43,0.30,0.20,0.13,0.08,0.05,0.04,0.04
215,United States Virgin Islands,,850,-0.39,-0.26,2.27,1.90,1.56,1.26,1.01,0.79,0.62,0.47,0.23,0.20,0.16,0.12,0.09,0.06,0.04,0.03,0.03,0.03
216,Central America,,916,1.73,1.63,1.54,1.42,1.21,1.06,0.77,0.74,0.65,0.49,0.49,0.46,0.42,0.38,0.35,0.31,0.28,0.26,0.25,0.24
217,Belize,,84,-0.22,-0.24,-0.58,-0.59,-0.31,-0.32,-0.39,-0.40,0.01,0.08,-0.58,-0.59,-0.45,-0.18,0.08,0.35,0.60,0.73,0.71,0.68
